Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
3046	HBE1	hemoglobin, epsilon 1	NM_005330	NP_005321.1	ENSG00000196565	chr11:5246274 - 5247696	heme binding;hemoglobin complex;iron ion binding;metal ion binding;oxygen binding;oxygen transport;oxygen transporter activity;transport	Stability
1839	HBEGF	heparin-binding EGF-like growth factor	NM_001945	NP_001936.1	ENSG00000113070	chr5:139694444 - 139706097	cell surface;epidermal growth factor receptor binding;epidermal growth factor receptor signaling pathway;extracellular space;growth factor activity;heparin binding;integral to plasma membrane;membrane;muscle development;positive regulation of keratinocyte migration;positive regulation of smooth muscle cell proliferation;receptor activity;regulation of heart contraction;signal transduction;wound healing, spreading of epidermal cells	Stability
3047	HBG1	hemoglobin, gamma A			ENSG00000161280	chr11:null	heme binding;hemoglobin complex;iron ion binding;metal ion binding;oxygen binding;oxygen transport;oxygen transporter activity;protein binding;transport	Stability
26959	HBP1	HMG-box transcription factor 1	NM_012257	NP_036389.2	ENSG00000105856	chr7:106607574 - 106629112	cell cycle arrest;DNA binding;nucleus;regulation of transcription, DNA-dependent;transcription;Wnt receptor signaling pathway	Tumor Suppressor
55384	hCG_25025	maternally expressed 3			null	chr14:null		Tumor Suppressor
3055	HCK	hemopoietic cell kinase	NM_002110	NP_002101.2	ENSG00000101336	chr20:30103888 - 30152983	ATP binding;intracellular signaling cascade;membrane;mesoderm development;nucleotide binding;protein amino acid phosphorylation;protein binding;protein-tyrosine kinase activity;transferase activity	Kit Receptor,  Protein Kinase,  Tyrosine Kinase
3060	HCRT	hypocretin (orexin) neuropeptide precursor	NM_001524	NP_001515.1	ENSG00000161610	chr17:37589697 - 37590909	endoplasmic reticulum;feeding behavior;neuropeptide signaling pathway;perinuclear region of cytoplasm;synaptic transmission;synaptic vesicle	Protein Kinase
3065	HDAC1	histone deacetylase 1	NM_004964	NP_004955.2	ENSG00000116478	chr1:32530357 - 32571232	anti-apoptosis;chromatin modification;cytoplasm;enzyme binding;histone deacetylase activity;histone deacetylase complex;histone deacetylation;hydrolase activity;identical protein binding;nucleus;regulation of transcription, DNA-dependent;transcription;transcription factor activity;transcription factor binding	Androgen Receptor,  EGFR1,  NOTCH,  TGFBR,  TNF_alpha_NF_kB,  Tumor Suppressor
3066	HDAC2	histone deacetylase 2	NM_001527	NP_001518.2	ENSG00000196591	chr6:114368914 - 114399047	chromatin modification;cytoplasm;enzyme binding;heterochromatin;histone deacetylase activity;histone deacetylase complex;histone deacetylation;hydrolase activity;nucleus;regulation of transcription, DNA-dependent;replication fork;transcription;transcription factor activity;transcription factor binding	NOTCH,  TNF_alpha_NF_kB,  Tumor Suppressor
8841	HDAC3	histone deacetylase 3	NM_003883	NP_003874.2	ENSG00000171720	chr5:140981218 - 140996541	anti-apoptosis;chromatin modification;cytoplasm;histone deacetylase activity;histone deacetylase complex;histone deacetylation;hydrolase activity;nucleus;regulation of progression through cell cycle;regulation of transcription, DNA-dependent;transcription;transcription factor binding	Tumor Suppressor
10013	HDAC6	histone deacetylase 6	NM_006044	NP_006035.2	ENSG00000094631	chrX:48546043 - 48567966	actin binding;cell cycle;chromatin modification;cytoplasm;histone deacetylase binding;histone deacetylase complex;histone deacetylation;hydrolase activity;metal ion binding;microtubule;multicellular organismal development;nucleus;regulation of transcription, DNA-dependent;specific transcriptional repressor activity;transcription;tubulin deacetylase activity;zinc ion binding	TNF_alpha_NF_kB,  Stability
55869	HDAC8	histone deacetylase 8	NM_018486	NP_060956.1	ENSG00000147099	chrX:71466628 - 71709336	chromatin assembly or disassembly;chromatin modification;cytoplasm;histone deacetylase activity;histone deacetylase complex;histone deacetylation;hydrolase activity;negative regulation of transcription from RNA polymerase II promoter;nuclear chromosome;nucleus;regulation of transcription, DNA-dependent;transcription;transcription factor binding	Stability
51696	HECA	headcase homolog (Drosophila)	NM_016217	NP_057301.1	ENSG00000112406	chr6:139498226 - 139539935	cellular_component;molecular_function;multicellular organismal development;regulation of progression through cell cycle;respiratory tube development	Tumor Suppressor
51191	HERC5	hect domain and RLD 5	NM_016323	NP_057407.2	ENSG00000138646	chr4:89597443 - 89646052	intracellular;ligase activity;protein modification process;regulation of cyclin-dependent protein kinase activity;ubiquitin cycle;ubiquitin-protein ligase activity	Protein Kinase
388585	HES5	hairy and enhancer of split 5 (Drosophila)	NM_001010926	NP_001010926.1	ENSG00000197921	chr1:2450767 - 2451463	auditory receptor cell differentiation;auditory receptor cell fate determination;cell adhesion;cell differentiation;cell maturation;DNA binding;multicellular organismal development;negative regulation of neuron differentiation;nervous system development;nucleus;regulation of transcription, DNA-dependent;transcription regulator activity	NOTCH
55502	HES6	hairy and enhancer of split 6 (Drosophila)	NM_018645	NP_061115.2	ENSG00000144485	chr2:238812206 - 238813285	cell differentiation;multicellular organismal development;nervous system development;nucleus;regulation of transcription from RNA polymerase II promoter;transcription cofactor activity;transcription factor activity;transcription factor complex	NOTCH,  Stability
8820	HESX1	HESX homeobox 1	NM_003865	NP_003856.1	ENSG00000163666	chr3:57207264 - 57208986	brain development;multicellular organismal development;nucleus;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription factor activity	Stability
3074	HEXB	hexosaminidase B (beta polypeptide)	NM_000521	NP_000512.1	ENSG00000049860	chr5:74016841 - 74052756	acrosome;beta-N-acetylhexosaminidase activity;calcium ion homeostasis;carbohydrate metabolic process;cation binding;cellular protein metabolic process;ganglioside catabolic process;glycosaminoglycan metabolic process;glycosphingolipid metabolic process;hydrolase activity, acting on glycosyl bonds;locomotory behavior;lysosome organization and biogenesis;male courtship behavior;membrane;metabolic process;myelination;neuromuscular process;oligosaccharide catabolic process;oogenesis (sensu Mammalia);penetration	Entrez Query:Oncogene
10614	HEXIM1	hexamethylene bis-acetamide inducible 1	NM_006460	NP_006451.1	ENSG00000186834	chr17:40582340 - 40583420	cyclin-dependent protein kinase inhibitor activity;cytoplasm;negative regulation of cyclin-dependent protein kinase activity;negative regulation of transcription from RNA polymerase II promoter;nucleus;protein binding;snRNA binding;transcriptional repressor activity	Protein Kinase
124790	HEXIM2	hexamthylene bis-acetamide inducible 2	NM_144608	NP_653209.1	ENSG00000168517	chr17:40595943 - 40602959	cyclin-dependent protein kinase inhibitor activity;cytoplasm;negative regulation of cyclin-dependent protein kinase activity;negative regulation of transcription from RNA polymerase II promoter;nucleus;protein binding;snRNA binding;transcriptional repressor activity	Protein Kinase
23462	HEY1	hairy/enhancer-of-split related with YRPW motif 1	NM_012258, NM_001040708	NP_036390.3, NP_001035798.1	ENSG00000164683	chr8:80839977 - 80842453	DNA binding;multicellular organismal development;nervous system development;Notch signaling pathway;nucleus;organ morphogenesis;protein binding;regulation of transcription, DNA-dependent;transcription factor activity;transcription regulator activity;vasculogenesis	NOTCH
23493	HEY2	hairy/enhancer-of-split related with YRPW motif 2	NM_012259	NP_036391.1	ENSG00000135547	chr6:126112615 - 126122641	DNA binding;multicellular organismal development;nervous system development;Notch signaling pathway;nucleus;organ morphogenesis;protein binding;regulation of transcription, DNA-dependent;transcription factor activity;transcription regulator activity;vasculogenesis	NOTCH
3077	HFE	hemochromatosis	NM_139010, NM_139011, NM_139006, NM_139004, NM_139008, NM_000410, NM_139003, NM_139009, NM_139007	NP_620579.1, NP_620580.1, NP_620575.1, NP_620573.1, NP_620577.1, NP_000401.1, NP_620572.1, NP_620578.1, NP_620576.1	ENSG00000010704	chr6:26195647 - 26202433	antigen processing and presentation;antigen processing and presentation of peptide antigen via MHC class I;cytoplasm;immune response;integral to plasma membrane;ion transport;iron ion binding;iron ion homeostasis;iron ion transport;membrane;MHC class I protein complex;plasma membrane;protein complex assembly;receptor-mediated endocytosis	Stability
3082	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	NM_001010933, NM_001010931, NM_000601, NM_001010934, NM_001010932	NP_001010933.1, NP_001010931.1, NP_000592.3, NP_001010934.1, NP_001010932.1	ENSG00000019991	chr7:81169832 - 81237223	cellular_component;epithelial to mesenchymal transition;growth factor activity;mitosis;protein binding;proteolysis;serine-type endopeptidase activity	Entrez Query:Oncogene
9146	HGS	hepatocyte growth factor-regulated tyrosine kinase substrate	NM_004712	NP_004703.1	ENSG00000185359	chr17:77261501 - 77279053	cytoplasm;endosome;endosome transport;intracellular protein transport;membrane;metal ion binding;molecular_function;negative regulation of cell proliferation;signal transduction;zinc ion binding	TGFBR
3087	HHEX	hematopoietically expressed homeobox	NM_002729	NP_002720.1	ENSG00000152804	chr10:94439723 - 94444505	embryonic heart tube development;forebrain development;liver development;multicellular organismal development;nucleus;protein binding;regulation of cell proliferation;regulation of transcription, DNA-dependent;sequence-specific DNA binding;thyroid gland development;transcription factor activity	Entrez Query:Oncogene
64399	HHIP	hedgehog interacting protein	NM_022475	NP_071920.1	ENSG00000164161	chr4:145787277 - 145878559	cell surface;dorsal/ventral pattern formation;integral to plasma membrane;lung development;negative regulation of smoothened signaling pathway;neuroblast proliferation;organ morphogenesis;protein binding;regulation of fibroblast growth factor receptor signaling pathway;signal transduction;smoothened signaling pathway	Hedgehog
3090	HIC1	hypermethylated in cancer 1	NM_006497	NP_006488.2	ENSG00000177374	chr17:1906353 - 1908879	cell cycle;intracellular;metal ion binding;multicellular organismal development;negative regulation of progression through cell cycle;nucleus;protein binding;regulation of transcription, DNA-dependent;transcription;transcription factor activity;zinc ion binding	Tumor Suppressor
3091	HIF1A	hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	NM_181054, NM_001530	NP_851397.1, NP_001521.1	ENSG00000100644	chr14:61232275 - 61283556	histone acetyltransferase binding;homeostatic process;nucleus;positive regulation of transcription;protein binding;protein heterodimerization activity;regulation of transcription, DNA-dependent;response to hypoxia;RNA polymerase II transcription factor activity, enhancer binding;signal transducer activity;signal transduction	Stability,  Tumor Suppressor,  Entrez Query:Oncogene
55662	HIF1AN	hypoxia-inducible factor 1, alpha subunit inhibitor	NM_017902	NP_060372.2	ENSG00000166135	chr10:102285705 - 102297884	iron ion binding;metal ion binding;nucleus;oxidoreductase activity;oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen;peptide-aspartate beta-dioxygenase activity;protein binding;regulation of transcription, DNA-dependent;transcription	Tumor Suppressor
25988	HINFP	MBD2-interacting zinc finger	NM_198971	NP_945322.1	ENSG00000172273	chr11:118502864 - 118510418	DNA binding;intracellular;metal ion binding;nucleus;regulation of transcription, DNA-dependent;transcription;zinc ion binding	Stability
3092	HIP1	huntingtin interacting protein 1	NM_005338	NP_005329.3	ENSG00000127946	chr7:75005428 - 75206174	actin binding;caspase activation;clathrin binding;clathrin cage assembly;cytoplasm;cytoskeleton;endocytosis;Golgi apparatus;membrane fraction;phospholipid binding;regulation of apoptosis;structural constituent of cytoskeleton	EGFR1,  Futreal et al 2004,  Mitelman 2000,  Translocation
9026	HIP1R	huntingtin interacting protein 1 related	NM_003959	NP_003950.1	ENSG00000130787	chr12:121886050 - 121912253	actin binding;biological_process;clathrin-coated vesicle;coated pit;phospholipid binding	Stability
204851	HIPK1	homeodomain interacting protein kinase 1	NM_181358, NM_198269, NM_152696	NP_852003.1, NP_938010.1, NP_689909.2	ENSG00000163349	chr1:114284528 - 114317657	ATP binding;DNA binding;kinase activity;nucleotide binding;nucleus;protein amino acid phosphorylation;protein binding;protein serine/threonine kinase activity;regulation of transcription, DNA-dependent;transcription;transferase activity	Protein Kinase
28996	HIPK2	homeodomain interacting protein kinase 2	NM_022740, NM_001113239	NP_073577.3, NP_001106710.1	ENSG00000064393	chr7:138908212 - 139123891	apoptosis;ATP binding;cytoplasm;induction of apoptosis by intracellular signals;nuclear body;nucleotide binding;nucleus;positive regulation of JNK cascade;positive regulation of transforming growth factor beta receptor signaling pathway;protein amino acid phosphorylation;protein binding;protein serine/threonine kinase activity;regulation of progression through cell cycle;regulation of transcription, DNA-dependent;transcription;transcription corepressor activity;transferase activity;virion binding;virus-host	Wnt,  Protein Kinase,  Stability,  Tumor Suppressor
10114	HIPK3	homeodomain interacting protein kinase 3	NM_001048200, NM_005734	NP_001041665.1, NP_005725.3	ENSG00000110422	chr11:33264536 - 33331690	anti-apoptosis;apoptosis;ATP binding;negative regulation of JNK activity;nucleotide binding;nucleus;peptidyl-serine phosphorylation;peptidyl-threonine phosphorylation;protein kinase binding;protein serine/threonine kinase activity;regulation of transcription, DNA-dependent;transcription;transferase activity	Androgen Receptor,  Protein Kinase
147746	HIPK4	homeodomain interacting protein kinase 4	NM_144685	NP_653286.2	ENSG00000160396	chr19:45577333 - 45587649	ATP binding;nucleotide binding;protein amino acid phosphorylation;protein serine/threonine kinase activity;transferase activity	Protein Kinase
8294	HIST1H4I	histone cluster 1, H4i			ENSG00000197238	chr6:null		Futreal et al 2004,  Mitelman 2000,  Translocation
8290	HIST3H3	histone cluster 3, H3	NM_003493	NP_003484.1	ENSG00000168148	chr1:226679238 - 226679649	chromosome;chromosome organization and biogenesis (sensu Eukaryota);DNA binding;nucleosome;nucleosome assembly;nucleus	EGFR1,  TNF_alpha_NF_kB
59269	HIVEP3	human immunodeficiency virus type I enhancer binding protein 3	NM_024503, NM_001127714	NP_078779.2, NP_001121186.1	ENSG00000127124	chr1:41748708 - 41823055	intracellular;metal ion binding;nucleic acid binding;positive regulation of transcription;transcriptional activator activity;zinc ion binding	NOTCH
284459	HKR1	GLI-Kruppel family member HKR1	NM_181786	NP_861451.1	ENSG00000181666	chr19:42527426 - 42546517	DNA binding;intracellular;metal ion binding;multicellular organismal development;nucleic acid binding;nucleus;regulation of transcription, DNA-dependent;transcription;zinc ion binding	Entrez Query:Oncogene
3105	HLA-A	major histocompatibility complex, class I, A	NM_002116	NP_002107.3	ENSG00000197499	chr6:30018309 - 30021211	antigen processing and presentation;antigen processing and presentation of peptide antigen via MHC class I;immune response;integral to membrane;integral to plasma membrane;membrane;MHC class I protein complex;MHC class I receptor activity;protein binding	Tumor Suppressor
3106	HLA-B	major histocompatibility complex, class I, B			ENSG00000198638	chr6:null	antigen processing and presentation;antigen processing and presentation of peptide antigen via MHC class I;biological_process;cellular_component;defense response;immune response;integral to membrane;integral to plasma membrane;membrane;membrane fraction;MHC class I protein complex;MHC class I receptor activity;molecular_function;protein binding	Stability
3135	HLA-G	HLA-G histocompatibility antigen, class I, G	NM_002127	NP_002118.1	ENSG00000187888	chr6:29903600 - 29906138	antigen processing and presentation;antigen processing and presentation of peptide antigen via MHC class I;cellular defense response;cellular_component;immune response;integral to membrane;membrane;MHC class I protein complex;MHC class I receptor activity;protein binding	Stability
3131	HLF	hepatic leukemia factor	NM_002126	NP_002117.1	ENSG00000108924	chr17:50697844 - 50753239	double-stranded DNA binding;multicellular organismal development;nucleus;protein dimerization activity;regulation of transcription, DNA-dependent;rhythmic process;sequence-specific DNA binding;transcription;transcription factor activity;transcription from RNA polymerase II promoter	Futreal et al 2004,  Mitelman 2000,  Translocation
6596	HLTF	helicase-like transcription factor	NM_139048	NP_620636.1	ENSG00000071794	chr3:150232696 - 150286813	ATP binding;ATPase activity;chromatin modification;DNA binding;helicase activity;hydrolase activity;metal ion binding;nucleotide binding;nucleus;protein binding;regulation of transcription from RNA polymerase II promoter;RNA polymerase II transcription factor activity;transcription;transcriptional activator activity;zinc ion binding	Stability,  Tumor Suppressor
3159	HMGA1	high mobility group AT-hook 1	NM_145905	NP_665912.1	ENSG00000137309	chr6:34316535 - 34320639	AT DNA binding;chromatin;chromosome;chromosome organization and biogenesis (sensu Eukaryota);DNA binding;DNA unwinding during replication;ligand-dependent nuclear receptor transcription coactivator activity;loss of chromatin silencing;nucleosome disassembly;nucleus;peroxisome proliferator activated receptor binding;positive regulation of transcription;protein complex assembly;regulation of transcription, DNA-dependent;retinoid X receptor binding;transcription;transcription factor activity;transcription fact	Futreal et al 2004,  Mitelman 2000,  Entrez Query:Oncogene,  Translocation
8091	HMGA2	high mobility group AT-hook 2	NM_003483, NM_003484	NP_003474.1, NP_003475.1	ENSG00000149948	chr12:64505317 - 64643339	AT DNA binding;chromatin;chromosome;chromosome organization and biogenesis (sensu Eukaryota);DNA binding;establishment and/or maintenance of chromatin architecture;multicellular organismal development;nucleus;protein binding;regulation of transcription, DNA-dependent;transcription	Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Entrez Query:Oncogene,  Translocation
3146	HMGB1	high-mobility group box 1	NM_002128	NP_002119.1	ENSG00000189403	chr13:29933493 - 29935817	anti-apoptosis;base-excision repair, DNA ligation;chromatin;condensed chromosome;DNA bending activity;DNA binding;DNA recombination;DNA repair;DNA unwinding during replication;establishment and/or maintenance of chromatin architecture;negative regulation of transcriptional preinitiation complex formation;nucleus;regulation of transcription from RNA polymerase II promoter;regulation of transcription, DNA-dependent;signal transduction;transcription factor binding	Stability
3148	HMGB2	high-mobility group box 2	NM_002129	NP_002120.1	ENSG00000164104	chr4:174489805 - 174491375	base-excision repair, DNA ligation;chromatin;condensed chromosome;cytoplasm;DNA bending activity;DNA repair;DNA replication;DNA unwinding during replication;double-stranded DNA binding;establishment and/or maintenance of chromatin architecture;nuclear chromosome;nucleosome assembly;nucleus;perinuclear region of cytoplasm;phosphoinositide-mediated signaling;regulation of transcription from RNA polymerase II promoter;single-stranded DNA binding;transcription factor activity	Stability
3162	HMOX1	heme oxygenase (decycling) 1	NM_002133	NP_002124.1	ENSG00000100292	chr22:34107166 - 34119591	endoplasmic reticulum;heme oxidation;heme oxygenase (decyclizing) activity;iron ion binding;membrane fraction;metal ion binding;microsome;oxidoreductase activity;positive regulation of I-kappaB kinase/NF-kappaB cascade;signal transducer activity	Protein Kinase
6927	HNF1A	transcription factor 1, hepatic; LF-B1, hepatic nuclear factor (HNF1), albumin proximal factor	NM_000545	NP_000536.4	ENSG00000135100	chr12:119900954 - 119923378	glucose homeostasis;nucleus;positive regulation of transcription;protein binding;regulation of transcription from RNA polymerase II promoter;RNA polymerase II transcription factor activity;sequence-specific DNA binding;transcription factor activity;transcriptional activator activity	Futreal et al 2004,  Stability,  Frameshift mutation,  Missense mutation
3172	HNF4A	hepatocyte nuclear factor 4, alpha	NM_001030004, NM_178850, NM_178849, NM_175914, NM_000457, NM_001030003	NP_001025175.1, NP_849181.1, NP_849180.1, NP_787110.2, NP_000448.3, NP_001025174.1	ENSG00000101076	chr20:42463426 - 42491719	blood coagulation;lipid metabolic process;metal ion binding;nucleus;protein binding;regulation of transcription from RNA polymerase II promoter;regulation of transcription, DNA-dependent;RNA polymerase II transcription factor activity;sequence-specific DNA binding;steroid binding;steroid hormone receptor activity;transcription;transcription factor activity;tRNA-pseudouridine synthase activity;zinc ion binding	Entrez Query:Oncogene
3176	HNMT	histamine N-methyltransferase	NM_001024074, NM_006895, NM_001024075	NP_001019245.1, NP_008826.1, NP_001019246.1	ENSG00000150540	chr2:138438531 - 138488170	histamine N-methyltransferase activity;methyltransferase activity;respiratory gaseous exchange;transferase activity	Stability
3184	HNRNPD	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)	NM_031369, NM_002138, NM_001003810, NM_031370	NP_112737.1, NP_002129.2, NP_001003810.1, NP_112738.1	ENSG00000138668	chr4:83495510 - 83513855	chromosome;chromosome, telomeric region;cytoplasm;DNA binding;mRNA binding;mRNA catabolic process;nucleic acid binding;nucleotide binding;nucleus;protein binding;regulation of transcription, DNA-dependent;ribonucleoprotein complex;RNA binding;RNA catabolic process;RNA processing;transcription;transcriptional activator activity	Stability
3190	HNRNPK	heterogeneous nuclear ribonucleoprotein K	NM_031263, NM_031262	NP_112553.1, NP_112552.1	ENSG00000165119	chr9:85774141 - 85782987	cytoplasm;DNA binding;heterogeneous nuclear ribonucleoprotein complex;mRNA processing;nucleoplasm;nucleus;protein binding;ribonucleoprotein complex;RNA binding;RNA splicing;signal transduction;spliceosome	Stability
3191	HNRNPL	heterogeneous nuclear ribonucleoprotein L	NM_001533	NP_001005335.1	ENSG00000104824	chr19:44019201 - 44032446	heterogeneous nuclear ribonucleoprotein complex;mRNA processing;nucleoplasm;nucleotide binding;nucleus;protein binding;RNA binding	Stability
3192	HNRNPU	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	NM_004501, NM_031844	NP_004492.2, NP_114032.2	ENSG00000153187	chr1:243084374 - 243094232	ATP binding;DNA binding;heterogeneous nuclear ribonucleoprotein complex;mRNA processing;nucleotide binding;nucleus;protein binding;ribonucleoprotein complex;RNA binding;RNA splicing;spliceosome	Stability
84525	HOPX	-	NM_139212	NP_631958.1	ENSG00000171476	chr4:57209642 - 57216923	multicellular organismal development;nucleus;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription factor activity	Tumor Suppressor
3198	HOXA1	homeobox A1	NM_153620, NM_005522	NP_705873.2, NP_005513.1	ENSG00000105991	chr7:27100583 - 27102056	anterior/posterior pattern formation;hindbrain development;inner ear morphogenesis;multicellular organismal development;nervous system development;nucleus;regulation of transcription from RNA polymerase II promoter;RNA polymerase II transcription factor activity;sequence-specific DNA binding;transcription factor activity	Entrez Query:Oncogene
3207	HOXA11	homeobox A11	NM_005523	NP_005514.1	ENSG00000005073	chr7:27188939 - 27191288	anatomical structure morphogenesis;induction of an organ;metanephros development;multicellular organismal development;nucleus;protein binding;regulation of transcription, DNA-dependent;sequence-specific DNA binding;skeletal development;transcription factor activity	Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Translocation
3209	HOXA13	homeobox A13	NM_000522	NP_000513.2	ENSG00000106031	chr7:27204341 - 27206221	multicellular organismal development;nucleus;protein binding;regulation of transcription, DNA-dependent;sequence-specific DNA binding;skeletal development;transcription factor activity	Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Translocation
3202	HOXA5	homeobox A5	NM_019102	NP_061975.2	ENSG00000106004	chr7:27147978 - 27149751	multicellular organism growth;nucleus;pattern specification process;regulation of transcription, DNA-dependent;sequence-specific DNA binding;skeletal development;thyroid gland development;transcription factor activity	Tumor Suppressor
3205	HOXA9	homeobox A9	NM_152739	NP_689952.1	ENSG00000078399	chr7:27169746 - 27171601	biological_process;molecular_function;multicellular organismal development;nucleus;protein binding;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription factor activity;transcriptional activator activity	TGFBR,  Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Translocation
10481	HOXB13	homeobox B13	NM_006361	NP_006352.2	ENSG00000159184	chr17:44159150 - 44160954	epidermis development;multicellular organismal development;nucleus;regulation of growth;regulation of transcription, DNA-dependent;response to wounding;sequence-specific DNA binding;transcription factor activity	Tumor Suppressor
3226	HOXC10	homeobox C10	NM_017409	NP_059105.2	ENSG00000180818	chr12:52665310 - 52669497	anatomical structure morphogenesis;multicellular organismal development;nucleus;positive regulation of cell proliferation;regulation of transcription, DNA-dependent;RNA polymerase II transcription factor activity;sequence-specific DNA binding;transcription factor activity	Protein Kinase
3227	HOXC11	homeobox C11	NM_014212	NP_055027.1	ENSG00000123388	chr12:52653292 - 52655464	endoderm development;induction of an organ;metanephros development;multicellular organismal development;nucleus;regulation of transcription, DNA-dependent;RNA polymerase II transcription factor activity;sequence-specific DNA binding;transcription factor activity	Futreal et al 2004,  Mitelman 2000,  Translocation
3229	HOXC13	homeobox C13	NM_017410	NP_059106.2	ENSG00000123364	chr12:52618957 - 52625307	anatomical structure morphogenesis;multicellular organismal development;nucleus;regulation of transcription, DNA-dependent;RNA polymerase II transcription factor activity;sequence-specific DNA binding;transcription factor activity	Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Translocation
3237	HOXD11	homeobox D11	NM_021192	NP_067015.2	ENSG00000128713	chr2:176680329 - 176682116	induction of an organ;metanephros development;multicellular organismal development;nucleus;regulation of transcription, DNA-dependent;sequence-specific DNA binding;skeletal development;transcription factor activity	Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Translocation
3239	HOXD13	homeobox D13	NM_000523	NP_000514.2	ENSG00000128714	chr2:176665864 - 176667704	embryonic limb morphogenesis;nucleus;pattern specification process;regulation of cell proliferation;regulation of transcription, DNA-dependent;sequence-specific DNA binding;skeletal development;transcription factor activity;transcription from RNA polymerase II promoter	Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Translocation
3248	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	NM_000860	NP_000851.2	ENSG00000164120	chr4:175649681 - 175680177	15-hydroxyprostaglandin dehydrogenase (NAD+) activity;cellular_component;cytosol;fatty acid metabolic process;lipid metabolic process;lipoxygenase pathway;metabolic process;NAD binding;negative regulation of progression through cell cycle;oxidoreductase activity;parturition;pregnancy;prostaglandin E receptor activity;prostaglandin metabolic process;protein homodimerization activity;transforming growth factor beta receptor signaling pathway	Tumor Suppressor
3250	HPR	haptoglobin-related protein	NM_020995	NP_066275.3	ENSG00000197711	chr16:70654655 - 70668481	extracellular region;hemoglobin binding;proteolysis;serine-type endopeptidase activity	Mitelman 2000
3251	HPRT1	hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)	NM_000194	NP_000185.1	ENSG00000165704	chrX:133422007 - 133461773	behavior;cytoplasm;hypoxanthine metabolic process;hypoxanthine phosphoribosyltransferase activity;magnesium ion binding;nucleoside metabolic process;positive regulation of dopamine metabolic process;protein binding;protein homodimerization activity;protein homotetramerization;purine nucleotide biosynthetic process;purine ribonucleoside salvage;transferase activity, transferring glycosyl groups	Stability
3265	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	NM_176795, NM_005343	NP_789765.1, NP_005334.1	ENSG00000174775	chr11:522635 - 524322	cell surface receptor linked signal transduction;chemotaxis;cytoplasm;GTP binding;intracellular;membrane;nucleotide binding;organ morphogenesis;plasma membrane;protein C-terminus binding;regulation of progression through cell cycle;small GTPase mediated signal transduction	EGFR1,  Kit Receptor,  Futreal et al 2004,  Hahn and Weinberg 2002,  Tumor Suppressor,  Entrez Query:Oncogene,  Missense mutation
54979	HRASLS2	HRAS-like suppressor 2	NM_017878	NP_060348.1	ENSG00000133328	chr11:63077011 - 63087372		Tumor Suppressor
11145	HRASLS3	HRAS-like suppressor 3	NM_007069, NM_001128203	NP_009000.2, NP_001121675.1	ENSG00000176485	chr11:63098992 - 63138062	biological_process;cell cycle;cellular_component;integral to membrane;membrane;molecular_function;negative regulation of progression through cell cycle;protein binding	Tumor Suppressor
3298	HSF2	heat shock transcription factor 2	NM_004506	NP_004497.1	ENSG00000025156	chr6:122762581 - 122795064	nucleus;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription;transcription coactivator activity;transcription factor activity;transcription from RNA polymerase II promoter	Entrez Query:Oncogene
3320	HSP90AA1	heat shock protein 90kDa alpha (cytosolic), class A member 1	NM_001017963	NP_005339.3	ENSG00000080824	chr14:101617801 - 101675494	ATP binding;biological_process;cellular_component;cytosol;mitochondrial transport;molecular_function;nitric-oxide synthase regulator activity;nucleotide binding;positive regulation of nitric oxide biosynthetic process;protein folding;protein homodimerization activity;protein refolding;response to unfolded protein;signal transduction;TPR domain binding;unfolded protein binding	TNF_alpha_NF_kB,  Futreal et al 2004,  Stability,  Entrez Query:Oncogene,  Translocation
3326	HSP90AB1	heat shock protein 90kDa alpha (cytosolic), class B member 1	NM_007355	NP_031381.2	ENSG00000096384	chr6:44324344 - 44329313	ATP binding;cellular_component;cytoplasm;mitochondrion;nitric-oxide synthase regulator activity;nucleotide binding;positive regulation of nitric oxide biosynthetic process;protein folding;response to unfolded protein;TPR domain binding;unfolded protein binding	TNF_alpha_NF_kB,  Futreal et al 2004,  Translocation
